FY,IndexName,PublishedDate,Date_30,Return_30d
2003-4,FINANCE,2003-07-15,2003-08-14,0.0
2003-4,NONLIFEINSU,2003-07-15,2003-08-14,0.0
2003-4,NEPSE,2003-07-15,2003-08-14,0.0054025114377493685
2003-4,MICROFINANCE,2003-07-15,2003-08-14,0.0
2003-4,BANKING,2003-07-15,2003-08-14,0.0
2003-4,HOTELS,2003-07-15,2003-08-14,0.0
2003-4,MANUFACTURE,2003-07-15,2003-08-14,0.0
2003-4,OTHERS,2003-07-15,2003-08-14,0.0
2003-4,LIFEINSU,2003-07-15,2003-08-14,0.0
2003-4,INVESTMENT,2003-07-15,2003-08-14,0.0
2003-4,TRADING,2003-07-15,2003-08-14,0.0
2003-4,HYDROPOWER,2003-07-15,2003-08-14,0.0
2003-4,DEVBANK,2003-07-15,2003-08-14,0.0
2004-5,FINANCE,2004-07-19,2004-08-18,0.0
2004-5,NONLIFEINSU,2004-07-19,2004-08-18,0.0
2004-5,NEPSE,2004-07-19,2004-08-18,0.0795256209442829
2004-5,MICROFINANCE,2004-07-19,2004-08-18,0.0
2004-5,BANKING,2004-07-19,2004-08-18,0.0
2004-5,HOTELS,2004-07-19,2004-08-18,0.0
2004-5,MANUFACTURE,2004-07-19,2004-08-18,0.0
2004-5,OTHERS,2004-07-19,2004-08-18,0.0
2004-5,LIFEINSU,2004-07-19,2004-08-18,0.0
2004-5,INVESTMENT,2004-07-19,2004-08-18,0.0
2004-5,TRADING,2004-07-19,2004-08-18,0.0
2004-5,HYDROPOWER,2004-07-19,2004-08-18,0.0
2004-5,DEVBANK,2004-07-19,2004-08-18,0.0
2005-6,FINANCE,2005-07-22,2005-08-21,0.0
2005-6,NONLIFEINSU,2005-07-22,2005-08-21,0.0
2005-6,NEPSE,2005-07-22,2005-08-21,0.011919032777340004
2005-6,MICROFINANCE,2005-07-22,2005-08-21,0.0
2005-6,BANKING,2005-07-22,2005-08-21,0.0
2005-6,HOTELS,2005-07-22,2005-08-21,0.0
2005-6,MANUFACTURE,2005-07-22,2005-08-21,0.0
2005-6,OTHERS,2005-07-22,2005-08-21,0.0
2005-6,LIFEINSU,2005-07-22,2005-08-21,0.0
2005-6,INVESTMENT,2005-07-22,2005-08-21,0.0
2005-6,TRADING,2005-07-22,2005-08-21,0.0
2005-6,HYDROPOWER,2005-07-22,2005-08-21,0.0
2005-6,DEVBANK,2005-07-22,2005-08-21,0.0
2006-7,FINANCE,2006-07-23,2006-08-22,0.0
2006-7,NONLIFEINSU,2006-07-23,2006-08-22,0.0
2006-7,NEPSE,2006-07-23,2006-08-22,-0.04302047995979396
2006-7,MICROFINANCE,2006-07-23,2006-08-22,0.0
2006-7,BANKING,2006-07-23,2006-08-22,0.0
2006-7,HOTELS,2006-07-23,2006-08-22,0.0
2006-7,MANUFACTURE,2006-07-23,2006-08-22,0.0
2006-7,OTHERS,2006-07-23,2006-08-22,0.0
2006-7,LIFEINSU,2006-07-23,2006-08-22,0.0
2006-7,INVESTMENT,2006-07-23,2006-08-22,0.0
2006-7,TRADING,2006-07-23,2006-08-22,0.0
2006-7,HYDROPOWER,2006-07-23,2006-08-22,0.0
2006-7,DEVBANK,2006-07-23,2006-08-22,0.0
2007-8,FINANCE,2007-07-23,2007-08-22,0.0
2007-8,NONLIFEINSU,2007-07-23,2007-08-22,0.0
2007-8,NEPSE,2007-07-23,2007-08-22,0.03860970561177555
2007-8,MICROFINANCE,2007-07-23,2007-08-22,0.0
2007-8,BANKING,2007-07-23,2007-08-22,0.0
2007-8,HOTELS,2007-07-23,2007-08-22,0.0
2007-8,MANUFACTURE,2007-07-23,2007-08-22,0.0
2007-8,OTHERS,2007-07-23,2007-08-22,0.0
2007-8,LIFEINSU,2007-07-23,2007-08-22,0.0
2007-8,INVESTMENT,2007-07-23,2007-08-22,0.0
2007-8,TRADING,2007-07-23,2007-08-22,0.0
2007-8,HYDROPOWER,2007-07-23,2007-08-22,0.0
2007-8,DEVBANK,2007-07-23,2007-08-22,0.0
2008-9,FINANCE,2008-09-29,2008-10-29,0.0
2008-9,NONLIFEINSU,2008-09-29,2008-10-29,0.0
2008-9,NEPSE,2008-09-29,2008-10-29,-0.11364604436133187
2008-9,MICROFINANCE,2008-09-29,2008-10-29,0.0
2008-9,BANKING,2008-09-29,2008-10-29,0.0
2008-9,HOTELS,2008-09-29,2008-10-29,0.0
2008-9,MANUFACTURE,2008-09-29,2008-10-29,0.0
2008-9,OTHERS,2008-09-29,2008-10-29,0.0
2008-9,LIFEINSU,2008-09-29,2008-10-29,0.0
2008-9,INVESTMENT,2008-09-29,2008-10-29,0.0
2008-9,TRADING,2008-09-29,2008-10-29,0.0
2008-9,HYDROPOWER,2008-09-29,2008-10-29,0.0
2008-9,DEVBANK,2008-09-29,2008-10-29,0.0
2009-10,FINANCE,2009-07-24,2009-08-23,0.0
2009-10,NONLIFEINSU,2009-07-24,2009-08-23,0.0
2009-10,NEPSE,2009-07-24,2009-08-23,-0.00855799240231046
2009-10,MICROFINANCE,2009-07-24,2009-08-23,0.0
2009-10,BANKING,2009-07-24,2009-08-23,0.0
2009-10,HOTELS,2009-07-24,2009-08-23,0.0
2009-10,MANUFACTURE,2009-07-24,2009-08-23,0.0
2009-10,OTHERS,2009-07-24,2009-08-23,0.0
2009-10,LIFEINSU,2009-07-24,2009-08-23,0.0
2009-10,INVESTMENT,2009-07-24,2009-08-23,0.0
2009-10,TRADING,2009-07-24,2009-08-23,0.0
2009-10,HYDROPOWER,2009-07-24,2009-08-23,0.0
2009-10,DEVBANK,2009-07-24,2009-08-23,0.0
2010-11,FINANCE,2010-07-28,2010-08-27,0.0
2010-11,NONLIFEINSU,2010-07-28,2010-08-27,0.0
2010-11,NEPSE,2010-07-28,2010-08-27,-0.06694360468909726
2010-11,MICROFINANCE,2010-07-28,2010-08-27,0.0
2010-11,BANKING,2010-07-28,2010-08-27,0.0
2010-11,HOTELS,2010-07-28,2010-08-27,0.0
2010-11,MANUFACTURE,2010-07-28,2010-08-27,0.0
2010-11,OTHERS,2010-07-28,2010-08-27,0.0
2010-11,LIFEINSU,2010-07-28,2010-08-27,0.0
2010-11,INVESTMENT,2010-07-28,2010-08-27,0.0
2010-11,TRADING,2010-07-28,2010-08-27,0.0
2010-11,HYDROPOWER,2010-07-28,2010-08-27,0.0
2010-11,DEVBANK,2010-07-28,2010-08-27,0.0
2011-12,FINANCE,2011-07-21,2011-08-20,-0.03494320069089212
2011-12,NONLIFEINSU,2011-07-21,2011-08-20,0.0
2011-12,NEPSE,2011-07-21,2011-08-20,-0.07098093366615317
2011-12,MICROFINANCE,2011-07-21,2011-08-20,0.0
2011-12,BANKING,2011-07-21,2011-08-20,-0.045055275374904
2011-12,HOTELS,2011-07-21,2011-08-20,-0.0512902198152278
2011-12,MANUFACTURE,2011-07-21,2011-08-20,0.0
2011-12,OTHERS,2011-07-21,2011-08-20,-0.04213589523828504
2011-12,LIFEINSU,2011-07-21,2011-08-20,0.0
2011-12,INVESTMENT,2011-07-21,2011-08-20,0.0
2011-12,TRADING,2011-07-21,2011-08-20,0.0
2011-12,HYDROPOWER,2011-07-21,2011-08-20,-0.11718117881371748
2011-12,DEVBANK,2011-07-21,2011-08-20,0.0
2012-13,FINANCE,2012-07-25,2012-08-24,-0.045449367809545504
2012-13,NONLIFEINSU,2012-07-25,2012-08-24,0.0
2012-13,NEPSE,2012-07-25,2012-08-24,-0.019381758925485076
2012-13,MICROFINANCE,2012-07-25,2012-08-24,0.0
2012-13,BANKING,2012-07-25,2012-08-24,-0.0717093381493679
2012-13,HOTELS,2012-07-25,2012-08-24,0.02692983531527115
2012-13,MANUFACTURE,2012-07-25,2012-08-24,0.08442670537010154
2012-13,OTHERS,2012-07-25,2012-08-24,0.0667749533013888
2012-13,LIFEINSU,2012-07-25,2012-08-24,0.0
2012-13,INVESTMENT,2012-07-25,2012-08-24,0.0
2012-13,TRADING,2012-07-25,2012-08-24,0.0
2012-13,HYDROPOWER,2012-07-25,2012-08-24,0.10648973017660379
2012-13,DEVBANK,2012-07-25,2012-08-24,-0.032049513147001996
2013-14,FINANCE,2013-07-21,2013-08-20,0.028202620770584816
2013-14,NONLIFEINSU,2013-07-21,2013-08-20,0.0
2013-14,NEPSE,2013-07-21,2013-08-20,0.023519749122676067
2013-14,MICROFINANCE,2013-07-21,2013-08-20,0.0
2013-14,BANKING,2013-07-21,2013-08-20,-0.002809354592643567
2013-14,HOTELS,2013-07-21,2013-08-20,-0.00010417751849141479
2013-14,MANUFACTURE,2013-07-21,2013-08-20,0.011952873484485139
2013-14,OTHERS,2013-07-21,2013-08-20,0.023460185284763912
2013-14,LIFEINSU,2013-07-21,2013-08-20,0.0
2013-14,INVESTMENT,2013-07-21,2013-08-20,0.0
2013-14,TRADING,2013-07-21,2013-08-20,0.0
2013-14,HYDROPOWER,2013-07-21,2013-08-20,0.05506120814251137
2013-14,DEVBANK,2013-07-21,2013-08-20,0.06545219441697718
2014-15,FINANCE,2014-07-18,2014-08-17,-0.0170580123543079
2014-15,NONLIFEINSU,2014-07-18,2014-08-17,0.0
2014-15,NEPSE,2014-07-18,2014-08-17,-0.032179494526907035
2014-15,MICROFINANCE,2014-07-18,2014-08-17,0.0
2014-15,BANKING,2014-07-18,2014-08-17,-0.07869149471565169
2014-15,HOTELS,2014-07-18,2014-08-17,-0.01917037491688406
2014-15,MANUFACTURE,2014-07-18,2014-08-17,0.03252046621340364
2014-15,OTHERS,2014-07-18,2014-08-17,-0.006202409702152278
2014-15,LIFEINSU,2014-07-18,2014-08-17,0.0
2014-15,INVESTMENT,2014-07-18,2014-08-17,0.0
2014-15,TRADING,2014-07-18,2014-08-17,0.0
2014-15,HYDROPOWER,2014-07-18,2014-08-17,-0.10532939497956943
2014-15,DEVBANK,2014-07-18,2014-08-17,0.006278829604130734
2015-16,FINANCE,2015-07-23,2015-08-22,0.03683456492233442
2015-16,NONLIFEINSU,2015-07-23,2015-08-22,0.0
2015-16,NEPSE,2015-07-23,2015-08-22,0.18067930395264015
2015-16,MICROFINANCE,2015-07-23,2015-08-22,0.0
2015-16,BANKING,2015-07-23,2015-08-22,0.28552552014512556
2015-16,HOTELS,2015-07-23,2015-08-22,0.06900925911484734
2015-16,MANUFACTURE,2015-07-23,2015-08-22,0.13300305556379594
2015-16,OTHERS,2015-07-23,2015-08-22,0.11287753981328945
2015-16,LIFEINSU,2015-07-23,2015-08-22,0.0
2015-16,INVESTMENT,2015-07-23,2015-08-22,0.0
2015-16,TRADING,2015-07-23,2015-08-22,0.0031501405447320234
2015-16,HYDROPOWER,2015-07-23,2015-08-22,-0.04146047455906601
2015-16,DEVBANK,2015-07-23,2015-08-22,0.018061408789885637
2016-17,FINANCE,2016-07-14,2016-08-13,0.004547516172924907
2016-17,NONLIFEINSU,2016-07-14,2016-08-13,0.0
2016-17,NEPSE,2016-07-14,2016-08-13,0.009184297063702222
2016-17,MICROFINANCE,2016-07-14,2016-08-13,0.0
2016-17,BANKING,2016-07-14,2016-08-13,0.040407699004263754
2016-17,HOTELS,2016-07-14,2016-08-13,0.020667648260952968
2016-17,MANUFACTURE,2016-07-14,2016-08-13,-0.017973906845579386
2016-17,OTHERS,2016-07-14,2016-08-13,-0.06272840874260255
2016-17,LIFEINSU,2016-07-14,2016-08-13,0.0
2016-17,INVESTMENT,2016-07-14,2016-08-13,0.0
2016-17,TRADING,2016-07-14,2016-08-13,0.0
2016-17,HYDROPOWER,2016-07-14,2016-08-13,-0.06742671494100762
2016-17,DEVBANK,2016-07-14,2016-08-13,0.017492596248766035
2017-18,FINANCE,2017-07-15,2017-08-14,0.11685909121598823
2017-18,NONLIFEINSU,2017-07-15,2017-08-14,0.0
2017-18,NEPSE,2017-07-15,2017-08-14,0.028789380955688823
2017-18,MICROFINANCE,2017-07-15,2017-08-14,0.0
2017-18,BANKING,2017-07-15,2017-08-14,-0.005699328745725599
2017-18,HOTELS,2017-07-15,2017-08-14,0.10857271804129534
2017-18,MANUFACTURE,2017-07-15,2017-08-14,0.15825504887232353
2017-18,OTHERS,2017-07-15,2017-08-14,0.031248199158646836
2017-18,LIFEINSU,2017-07-15,2017-08-14,0.0
2017-18,INVESTMENT,2017-07-15,2017-08-14,0.0
2017-18,TRADING,2017-07-15,2017-08-14,0.006345177664974727
2017-18,HYDROPOWER,2017-07-15,2017-08-14,-0.019998952385940936
2017-18,DEVBANK,2017-07-15,2017-08-14,0.044438617328129974
2018-19,FINANCE,2018-07-11,2018-08-10,-0.014238034953882525
2018-19,NONLIFEINSU,2018-07-11,2018-08-10,-0.07554427679006771
2018-19,NEPSE,2018-07-11,2018-08-10,-0.034587439036528354
2018-19,MICROFINANCE,2018-07-11,2018-08-10,-0.09028491905638658
2018-19,BANKING,2018-07-11,2018-08-10,-0.021588870260890007
2018-19,HOTELS,2018-07-11,2018-08-10,0.02222013668834395
2018-19,MANUFACTURE,2018-07-11,2018-08-10,-0.05618959652166079
2018-19,OTHERS,2018-07-11,2018-08-10,-0.0018331288689594238
2018-19,LIFEINSU,2018-07-11,2018-08-10,-0.08935177475862571
2018-19,INVESTMENT,2018-07-11,2018-08-10,0.0
2018-19,TRADING,2018-07-11,2018-08-10,0.041128205128205184
2018-19,HYDROPOWER,2018-07-11,2018-08-10,-0.050342057279170724
2018-19,DEVBANK,2018-07-11,2018-08-10,-0.011783006848784751
2019-20,FINANCE,2019-07-24,2019-08-23,-0.07491727122311302
2019-20,NONLIFEINSU,2019-07-24,2019-08-23,-0.08656112583753868
2019-20,NEPSE,2019-07-24,2019-08-23,-0.05798013809411044
2019-20,MICROFINANCE,2019-07-24,2019-08-23,0.00123111137586633
2019-20,BANKING,2019-07-24,2019-08-23,-0.05571203390268488
2019-20,HOTELS,2019-07-24,2019-08-23,-0.03979295340029485
2019-20,MANUFACTURE,2019-07-24,2019-08-23,-0.043109606369521665
2019-20,OTHERS,2019-07-24,2019-08-23,-0.04383712147222407
2019-20,LIFEINSU,2019-07-24,2019-08-23,-0.059643582674610646
2019-20,INVESTMENT,2019-07-24,2019-08-23,0.0
2019-20,TRADING,2019-07-24,2019-08-23,0.07728792473369098
2019-20,HYDROPOWER,2019-07-24,2019-08-23,-0.14789423751185907
2019-20,DEVBANK,2019-07-24,2019-08-23,-0.03362424404830785
2020-21,FINANCE,2020-07-17,2020-08-16,-0.03592787974079017
2020-21,NONLIFEINSU,2020-07-17,2020-08-16,0.011706846229862318
2020-21,NEPSE,2020-07-17,2020-08-16,-0.05920750803285837
2020-21,MICROFINANCE,2020-07-17,2020-08-16,-0.07465374234095791
2020-21,BANKING,2020-07-17,2020-08-16,-0.07833278767753303
2020-21,HOTELS,2020-07-17,2020-08-16,0.061504077403475375
2020-21,MANUFACTURE,2020-07-17,2020-08-16,-0.08087517566510447
2020-21,OTHERS,2020-07-17,2020-08-16,-0.019814466743466964
2020-21,LIFEINSU,2020-07-17,2020-08-16,-0.03734969442714488
2020-21,INVESTMENT,2020-07-17,2020-08-16,0.0
2020-21,TRADING,2020-07-17,2020-08-16,-0.012639213247115961
2020-21,HYDROPOWER,2020-07-17,2020-08-16,-0.06206664954664878
2020-21,DEVBANK,2020-07-17,2020-08-16,-0.055216094973863636
2021-22,FINANCE,2021-08-13,2021-09-12,-0.00015681782541404556
2021-22,NONLIFEINSU,2021-08-13,2021-09-12,-0.07047376834359774
2021-22,NEPSE,2021-08-13,2021-09-12,-0.06550694318096084
2021-22,MICROFINANCE,2021-08-13,2021-09-12,-0.050758855870986844
2021-22,BANKING,2021-08-13,2021-09-12,-0.07624677740738293
2021-22,HOTELS,2021-08-13,2021-09-12,-0.04020962955355067
2021-22,MANUFACTURE,2021-08-13,2021-09-12,-0.0007016818841235257
2021-22,OTHERS,2021-08-13,2021-09-12,-0.09002094518140444
2021-22,LIFEINSU,2021-08-13,2021-09-12,-0.08550172465074167
2021-22,INVESTMENT,2021-08-13,2021-09-12,-0.12536835901321883
2021-22,TRADING,2021-08-13,2021-09-12,-0.11106696534760864
2021-22,HYDROPOWER,2021-08-13,2021-09-12,-0.02302991509103643
2021-22,DEVBANK,2021-08-13,2021-09-12,0.0035730516401683544
2022-23,FINANCE,2022-07-22,2022-08-21,0.11979923149050395
2022-23,NONLIFEINSU,2022-07-22,2022-08-21,0.01817317473884368
2022-23,NEPSE,2022-07-22,2022-08-21,0.021358539946269142
2022-23,MICROFINANCE,2022-07-22,2022-08-21,0.04794528182845738
2022-23,BANKING,2022-07-22,2022-08-21,-0.006830930805742603
2022-23,HOTELS,2022-07-22,2022-08-21,0.04640306708886107
2022-23,MANUFACTURE,2022-07-22,2022-08-21,-0.007058723476633833
2022-23,OTHERS,2022-07-22,2022-08-21,0.023546538805710997
2022-23,LIFEINSU,2022-07-22,2022-08-21,-0.02077912620096645
2022-23,INVESTMENT,2022-07-22,2022-08-21,0.030126930723352176
2022-23,TRADING,2022-07-22,2022-08-21,0.05610834157466638
2022-23,HYDROPOWER,2022-07-22,2022-08-21,0.07498672377619332
2022-23,DEVBANK,2022-07-22,2022-08-21,0.08647066610644574
2023-24,FINANCE,2023-07-23,2023-08-22,-0.13027593935465068
2023-24,NONLIFEINSU,2023-07-23,2023-08-22,-0.08591880770945583
2023-24,NEPSE,2023-07-23,2023-08-22,-0.09482030927279578
2023-24,MICROFINANCE,2023-07-23,2023-08-22,-0.1117357371891826
2023-24,BANKING,2023-07-23,2023-08-22,-0.07893878911259068
2023-24,HOTELS,2023-07-23,2023-08-22,-0.057378980705434054
2023-24,MANUFACTURE,2023-07-23,2023-08-22,-0.12211018220082692
2023-24,OTHERS,2023-07-23,2023-08-22,-0.055580914704502424
2023-24,LIFEINSU,2023-07-23,2023-08-22,-0.1013689279643096
2023-24,INVESTMENT,2023-07-23,2023-08-22,-0.08165401727296512
2023-24,TRADING,2023-07-23,2023-08-22,-0.07549669302125703
2023-24,HYDROPOWER,2023-07-23,2023-08-22,-0.14172009183241804
2023-24,DEVBANK,2023-07-23,2023-08-22,-0.1116318007286537
2024-25,FINANCE,2024-07-26,2024-08-25,0.2768005431834141
2024-25,NONLIFEINSU,2024-07-26,2024-08-25,0.04658676228357767
2024-25,NEPSE,2024-07-26,2024-08-25,0.07943510493891624
2024-25,MICROFINANCE,2024-07-26,2024-08-25,-0.02345771587122619
2024-25,BANKING,2024-07-26,2024-08-25,0.051507298296429076
2024-25,HOTELS,2024-07-26,2024-08-25,0.08871142132894433
2024-25,MANUFACTURE,2024-07-26,2024-08-25,-0.04324361130936325
2024-25,OTHERS,2024-07-26,2024-08-25,0.13671195427056593
2024-25,LIFEINSU,2024-07-26,2024-08-25,0.12655089963161223
2024-25,INVESTMENT,2024-07-26,2024-08-25,0.19079352060693047
2024-25,TRADING,2024-07-26,2024-08-25,0.016444541924163652
2024-25,HYDROPOWER,2024-07-26,2024-08-25,0.11758646758646758
2024-25,DEVBANK,2024-07-26,2024-08-25,0.09321750436059416
